1001,User1,21,female,160.5,61.0,22.2,56.0
1002,User2,22,male,161.0,62.0,22.4,57.0
1003,User3,23,female,161.5,63.0,22.0,58.0
1004,User4,24,male,162.0,64.0,22.2,59.0
1005,User5,25,female,162.5,65.0,22.4,55.0
1006,User6,26,male,163.0,66.0,22.0,56.0
1007,User7,27,female,163.5,67.0,22.2,57.0
1008,User8,28,male,164.0,68.0,22.4,58.0
1009,User9,29,female,164.5,69.0,22.0,59.0
1010,User10,20,male,165.0,70.0,22.2,55.0
1011,User11,21,female,165.5,71.0,22.4,56.0
1012,User12,22,male,166.0,72.0,22.0,57.0
1013,User13,23,female,166.5,73.0,22.2,58.0
1014,User14,24,male,167.0,74.0,22.4,59.0
1015,User15,25,female,167.5,75.0,22.0,55.0
1016,User16,26,male,168.0,76.0,22.2,56.0
1017,User17,27,female,168.5,77.0,22.4,57.0
1018,User18,28,male,169.0,78.0,22.0,58.0
1019,User19,29,female,169.5,79.0,22.2,59.0
1020,User20,20,male,170.0,80.0,22.4,55.0
1021,User21,21,female,170.5,81.0,22.0,56.0
1022,User22,22,male,171.0,82.0,22.2,57.0
1023,User23,23,female,171.5,83.0,22.4,58.0
1024,User24,24,male,172.0,84.0,22.0,59.0
1025,User25,25,female,172.5,85.0,22.2,55.0
1026,User26,26,male,173.0,86.0,22.4,56.0
1027,User27,27,female,173.5,87.0,22.0,57.0
1028,User28,28,male,174.0,88.0,22.2,58.0
1029,User29,29,female,174.5,89.0,22.4,59.0
1030,User30,20,male,175.0,90.0,22.0,55.0
